,payload
2019-12-31,110.02023461138356
2020-01-01,110.09589259731814
2020-01-02,110.08718482402813
2020-01-03,110.07836867826109
2020-01-04,110.06932438641967
2020-01-05,110.16657240265405
2020-01-06,110.19795924027437
2020-01-07,110.22947137057038
2020-01-08,110.26134299307364
2020-01-09,110.29265885644551
2020-01-10,110.3241326685072
2020-01-11,110.35560492262522
2020-01-12,110.30603852943979
2020-01-13,110.3063391028294
2020-01-14,110.30653871932125
2020-01-15,110.30646192507311
2020-01-16,110.306805836504
2020-01-17,110.30715172895039
2020-01-18,110.30749875872684
2020-01-19,110.3069461885632
2020-01-20,110.30694946498672
2020-01-21,110.30695165644113
2020-01-22,110.30695079866128
2020-01-23,110.30695463090328
2020-01-24,110.30695848583645
2020-01-25,110.30696235372697
2020-01-26,110.30695619489293
2020-01-27,110.30695623140831
2020-01-28,110.30695625583344
2020-01-29,110.3069562462727
2020-01-30,110.30695628898599
2020-01-31,110.30695633195221
2020-02-01,110.30695637506285
2020-02-02,110.30695630641786
2020-02-03,110.30695630682486
2020-02-04,110.3069563070971
2020-02-05,110.30695630699053
2020-02-06,110.3069563074666
2020-02-07,110.3069563079455
2020-02-08,110.306956308426
2020-02-09,110.3069563076609
2020-02-10,110.30695630766543
2020-02-11,110.30695630766847
2020-02-12,110.30695630766728
2020-02-13,110.30695630767258
2020-02-14,110.30695630767792
2020-02-15,110.30695630768328
2020-02-16,110.30695630767475
2020-02-17,110.30695630767481
2020-02-18,110.30695630767484
2020-02-19,110.30695630767482
2020-02-20,110.30695630767488
2020-02-21,110.30695630767494
2020-02-22,110.306956307675
2020-02-23,110.3069563076749
2020-02-24,110.3069563076749
2020-02-25,110.3069563076749
2020-02-26,110.3069563076749
2020-02-27,110.3069563076749
2020-02-28,110.3069563076749
